iso,country,planted_forest__ha,primary_forest__ha,regenerated_forest__ha,fao_treecover__ha,area_ha
AFG,Afghanistan,0,,1208440,1208440,65286000
ALB,Albania,70390,84800,711680,782070,2.74E+06
DZA,Algeria,498000,0,1.42E+06,1918000,238174000
ASM,American Samoa,0,2690,17430,17430,2.00E+04
AND,Andorra,0,0,16000,16000,47000
AGO,Angola,874460,,71283530,72158000,1.25E+08
AIA,Anguilla,,0,,5500,9000
ATG,Antigua and Barbuda,,0,,8780,44000
ARG,Argentina,1187000,,29027000,30214000,273669000
ARM,Armenia,20560,17000,3.10E+05,330560,2847000
ABW,Aruba,0,,420,420,18000
AUS,Australia,2167900,,127378200,129546100,7.68E+08
AUT,Austria,1679300,63000,2183700,3863200,8252000
AZE,Azerbaijan,289100,,743400,1032490,8266000
BHS,Bahamas,0,0,509860,509860,1001000
BHR,Bahrain,520,,0,520,77000
BGD,Bangladesh,71930,,1816410,1888340,13017000
BRB,Barbados,0,,6300,6300,43000
BLR,Belarus,2146280,134800,6483720,8.63E+06,20297800
BEL,Belgium,406370,0,283400,689870,3028000
BLZ,Belize,2280,,1389110,1391390,2281000
BEN,Benin,2.00E+04,0,3615150,3635150,11276000
BMU,Bermuda,,,,1000,5000
BTN,Bhutan,19750,413000,2685540,2705290,3812000
BOL,Bolivia (Plurinational State of),50130,,53035880,53086010,1.08E+08
BES,"Bonaire, Sint Eustatius and Saba",0,,1910,1910,32200
BIH,Bosnia and Herzegovina,,,,2102660,5.12E+06
BWA,Botswana,0,,16437700,16437700,56673000
BRA,Brazil,7328300,2.18E+08,504252400,511580700,835814000
VGB,British Virgin Islands,,,,3640,15000
BRN,Brunei Darussalam,3710,263000,376290,3.80E+05,527000
BGR,Bulgaria,817000,597000,2.92E+06,3737000,10856000
BFA,Burkina Faso,122700,0,6593800,6716500,2.74E+07
BDI,Burundi,112970,64780,80970,193940,2568000
CPV,Cabo Verde,29040,0,13680,42720,403000
KHM,Cambodia,154530,322000,10434700,10589230,17652000
CMR,Cameroon,41100,0,20859380,20900480,47271000
CAN,Canada,14015750,205276230,333306460,347322210,909351000
CYM,Cayman Islands,0,,12720,12720,24000
CAF,Central African Republic,2000,2752000,22601000,22603000,62298000
TCD,Chad,17700,,5513000,5.53E+06,1.26E+08
CHL,Chile,2830390,4801510,13894870,16725260,74353000
CHN,China,73324150,11453330,127286230,200610380,9.42E+08
COL,Colombia,381300,,60426490,60807790,1.11E+08
COM,Comoros,1310,,36000,37300,186000
COG,Congo,59500,,22015500,22075000,3.42E+07
COK,Cook Islands,1100,0,14400,15590,24000
CRI,Costa Rica,66600,,2804200,2871200,5106000
HRV,Croatia,74840,6730,1845160,1.92E+06,5596000
CUB,Cuba,496000,0,2436000,2932000,10402000
CUW,Curaçao,0,,70,70,44400
CYP,Cyprus,30690,0,142170,172840,924000
CZE,Czechia,2569640,9990,87730,2657380,7721000
CIV,Côte d'Ivoire,13950,1345860,3951300,3965580,3.18E+07
PRK,Democratic People's Republic of Korea,1020530,,5221860,6242390,12041000
COD,Democratic Republic of the Congo,57700,89979290,137111300,137169000,226705000
DNK,Denmark,446960,27930,139530,586490,4199000
DJI,Djibouti,0,0,5600,5600,2318000
DMA,Dominica,810,26720,47060,47870,75000
DOM,Dominican Republic,110300,,1962810,2073120,4831000
ECU,Ecuador,84820,,12943370,13028190,24836000
EGY,Egypt,65640,,0,65640,99545000
SLV,El Salvador,15050,,613830,628880,2072000
GNQ,Equatorial Guinea,125000,,2407010,2532010,2805000
ERI,Eritrea,28500,0,1058360,1086860,1.01E+07
EST,Estonia,206680,59160,2129340,2336020,4347000
SWZ,Eswatini,122540,300,362890,485430,1.72E+06
ETH,Ethiopia,740710,,17057790,17798500,111971550
FLK,Falkland Islands (Malvinas),0,0,0,0,1217000
FRO,Faroe Islands,80,0,0,80,1.40E+05
FJI,Fiji,166180,0,907060,1073240,1827000
FIN,Finland,6908370,234000,15333630,22242000,30391000
FRA,France,2073000,,14346000,16419000,54756000
GUF,French Guyana,700,7694000,8035800,8036500,8.22E+06
PYF,French Polynesia,9460,4.00E+04,1.40E+05,149460,366000
GAB,Gabon,3.00E+04,,23619410,23649410,25767000
GMB,Gambia,1780,13000,298220,3.00E+05,1012000
GEO,Georgia,71970,5.00E+05,2750430,2822400,6949000
DEU,Germany,5704500,0,5704500,11409000,34886000
GHA,Ghana,219980,395000,7722950,7942930,22754000
GIB,Gibraltar,0,0,0,0,1000
GRC,Greece,138900,,3762900,3901800,1.29E+07
GRL,Greenland,220,0,0,220,41045000
GRD,Grenada,210,2320,17490,17700,34000
GLP,Guadeloupe,500,7110,71050,71550,169000
GUM,Guam,0,,24000,24000,54000
GTM,Guatemala,111680,688680,3610920,3722600,10716000
GGY,Guernsey,220,0,190,420,8000
GIN,Guinea,52000,63000,6517000,6569000,24572000
GNB,Guinea-Bissau,710,,2064000,2064430,2812000
